> QA_Iteration0-0| Output Layer: [0.41875106] | Score:[0.92428344] | Label: 0| Elapsed: 4.19
> QA_Iteration4-2| Output Layer: [-1.5845803] | Score:[0.18650764] | Label: 0| Elapsed: 2.89
> QA_Iteration5-0| Output Layer: [-2.3571713] | Score:[0.09046911] | Label: 0| Elapsed: 2.91
> QA_Iteration5-1| Output Layer: [-2.371311] | Score:[0.08925393] | Label: 0| Elapsed: 2.93
> QA_Iteration5-2| Output Layer: [-2.3019302] | Score:[0.09536973] | Label: 0| Elapsed: 2.96
> QA_Iteration5-3| Output Layer: [-2.5710545] | Score:[0.07367313] | Label: 0| Elapsed: 2.92
> QA_Iteration5-4| Output Layer: [-2.998444] | Score:[0.0486612] | Label: 0| Elapsed: 2.92
> QA_Iteration5-5| Output Layer: [-2.5856905] | Score:[0.07264064] | Label: 0| Elapsed: 2.97
> QA_Iteration5-6| Output Layer: [-3.358235] | Score:[0.03420491] | Label: 0| Elapsed: 2.97
> QA_Iteration5-7| Output Layer: [-3.4061382] | Score:[0.03263082] | Label: 0| Elapsed: 2.92
> QA_Iteration5-8| Output Layer: [-3.6693616] | Score:[0.02517322] | Label: 0| Elapsed: 2.92
> QA_Iteration5-9| Output Layer: [-4.294896] | Score:[0.01354583] | Label: 0| Elapsed: 2.92
> QA_Iteration5-10| Output Layer: [-4.657082] | Score:[0.00944934] | Label: 0| Elapsed: 2.93
> QA_Iteration5-11| Output Layer: [-4.448718] | Score:[0.01162571] | Label: 0| Elapsed: 2.93
> QA_Iteration5-12| Output Layer: [-4.5361586] | Score:[0.01065749] | Label: 0| Elapsed: 2.94
> QA_Iteration6-0| Output Layer: [-2.908844] | Score:[0.05310346] | Label: 0| Elapsed: 2.99
> QA_Iteration7-0| Output Layer: [-2.3579388] | Score:[0.09040274] | Label: 0| Elapsed: 2.93
> QA_Iteration7-1| Output Layer: [-2.7787971] | Score:[0.06026048] | Label: 0| Elapsed: 2.93
> QA_Iteration7-2| Output Layer: [-3.8509517] | Score:[0.02103666] | Label: 0| Elapsed: 2.94
> QA_Iteration7-3| Output Layer: [-3.4351492] | Score:[0.03171241] | Label: 0| Elapsed: 2.99
> QA_Iteration7-4| Output Layer: [-4.505806] | Score:[0.01098414] | Label: 0| Elapsed: 3.14
> QA_Iteration7-5| Output Layer: [-3.6252873] | Score:[0.02629274] | Label: 0| Elapsed: 3.82
> QA_Iteration7-6| Output Layer: [-3.7450056] | Score:[0.0233605] | Label: 0| Elapsed: 3.09
> QA_Iteration8-0| Output Layer: [-13.577792] | Score:[1.2683511e-06] | Label: 0| Elapsed: 3.71
> QA_Iteration8-1| Output Layer: [-5.398718] | Score:[0.00451218] | Label: 0| Elapsed: 3.71
> QA_Iteration8-2| Output Layer: [-7.2226977] | Score:[0.00072956] | Label: 0| Elapsed: 3.09
> QA_Iteration8-3| Output Layer: [-8.055508] | Score:[0.0003173] | Label: 0| Elapsed: 2.99
> QA_Iteration8-4| Output Layer: [-5.297367] | Score:[0.00499227] | Label: 0| Elapsed: 2.99
> QA_Iteration8-5| Output Layer: [-7.72769] | Score:[0.00044036] | Label: 0| Elapsed: 3.05
> QA_Iteration8-6| Output Layer: [-6.5603952] | Score:[0.00141433] | Label: 0| Elapsed: 3.08
> QA_Iteration8-7| Output Layer: [-9.682697] | Score:[6.235115e-05] | Label: 0| Elapsed: 2.98
> QA_Iteration8-8| Output Layer: [-9.851466] | Score:[5.2668525e-05] | Label: 0| Elapsed: 2.94
> QA_Iteration8-9| Output Layer: [-8.402211] | Score:[0.00022435] | Label: 0| Elapsed: 2.95
> QA_Iteration8-10| Output Layer: [-7.9468765] | Score:[0.0003537] | Label: 0| Elapsed: 2.99
> QA_Iteration9-0| Output Layer: [-5.9714775] | Score:[0.00254722] | Label: 0| Elapsed: 2.93
> QA_Iteration9-1| Output Layer: [-7.196819] | Score:[0.00074868] | Label: 0| Elapsed: 2.92
> QA_Iteration9-2| Output Layer: [-8.992571] | Score:[0.00012432] | Label: 0| Elapsed: 2.92
> QA_Iteration9-3| Output Layer: [-7.92998] | Score:[0.00035973] | Label: 0| Elapsed: 2.97
> QA_Iteration9-4| Output Layer: [-9.027802] | Score:[0.00012002] | Label: 0| Elapsed: 3.12
> QA_Iteration9-5| Output Layer: [-7.5626545] | Score:[0.00051936] | Label: 0| Elapsed: 3.84
> QA_Iteration10-0| Output Layer: [-10.406492] | Score:[3.023509e-05] | Label: 0| Elapsed: 3.08
> QA_Iteration10-1| Output Layer: [-20.9022] | Score:[8.3616036e-10] | Label: 0| Elapsed: 3.41
> QA_Iteration10-2| Output Layer: [-10.922463] | Score:[1.8048057e-05] | Label: 0| Elapsed: 3.60
> QA_Iteration10-3| Output Layer: [-11.437672] | Score:[1.07815185e-05] | Label: 0| Elapsed: 3.08
> QA_Iteration10-4| Output Layer: [-10.203354] | Score:[3.7045174e-05] | Label: 0| Elapsed: 2.98
> QA_Iteration10-5| Output Layer: [-13.384647] | Score:[1.5385839e-06] | Label: 0| Elapsed: 2.93
> QA_Iteration11-0| Output Layer: [-7.6320343] | Score:[0.00048456] | Label: 0| Elapsed: 2.95
> QA_Iteration11-1| Output Layer: [-7.4875493] | Score:[7.488109] | Label: 1| Elapsed: 2.97
> QA_Iteration11-2| Output Layer: [-6.5202436] | Score:[6.5217156] | Label: 1| Elapsed: 2.93
> QA_Iteration11-3| Output Layer: [-4.2724724] | Score:[0.01385089] | Label: 0| Elapsed: 2.93
> QA_Iteration11-4| Output Layer: [-4.2562714] | Score:[0.01407553] | Label: 0| Elapsed: 2.94
> QA_Iteration11-5| Output Layer: [-1.6979926] | Score:[1.866089] | Label: 1| Elapsed: 2.95
> QA_Iteration11-6| Output Layer: [-3.6449535] | Score:[0.02578726] | Label: 0| Elapsed: 2.93
> QA_Iteration11-7| Output Layer: [-1.402442] | Score:[0.21993482] | Label: 0| Elapsed: 2.93
> QA_Iteration11-8| Output Layer: [-1.187453] | Score:[0.26620084] | Label: 0| Elapsed: 2.94
> QA_Iteration11-9| Output Layer: [-1.163072] | Score:[0.27195248] | Label: 0| Elapsed: 2.93
> QA_Iteration12-0| Output Layer: [-1.8254582] | Score:[0.14940555] | Label: 0| Elapsed: 2.93
> QA_Iteration12-1| Output Layer: [-1.7772342] | Score:[0.15623869] | Label: 0| Elapsed: 2.93
> QA_Iteration12-2| Output Layer: [-1.7721543] | Score:[0.15697506] | Label: 0| Elapsed: 2.93
> QA_Iteration12-3| Output Layer: [-0.18924677] | Score:[0.79224074] | Label: 1| Elapsed: 2.94
> QA_Iteration12-4| Output Layer: [-1.7299999] | Score:[0.16321045] | Label: 0| Elapsed: 2.92
> QA_Iteration12-5| Output Layer: [-1.7247133] | Score:[0.16400833] | Label: 0| Elapsed: 2.99
> QA_Iteration12-6| Output Layer: [-1.7168808] | Score:[0.16519707] | Label: 0| Elapsed: 2.95
> QA_Iteration12-7| Output Layer: [-1.7182833] | Score:[0.16498363] | Label: 0| Elapsed: 2.96
> QA_Iteration12-8| Output Layer: [-1.7173935] | Score:[0.16511902] | Label: 0| Elapsed: 2.98
> QA_Iteration12-9| Output Layer: [-1.7208245] | Score:[0.16459756] | Label: 0| Elapsed: 2.96
> QA_Iteration12-10| Output Layer: [-1.7245855] | Score:[0.16402768] | Label: 0| Elapsed: 2.94
> QA_Iteration12-11| Output Layer: [-1.7336168] | Score:[0.16266662] | Label: 0| Elapsed: 2.94
> QA_Iteration12-12| Output Layer: [-1.7440827] | Score:[0.1611024] | Label: 0| Elapsed: 2.94
> QA_Iteration12-13| Output Layer: [-1.7568914] | Score:[0.15920688] | Label: 0| Elapsed: 2.94
> QA_Iteration12-14| Output Layer: [-1.769748] | Score:[0.157325] | Label: 0| Elapsed: 2.95
> QA_Iteration13-0| Output Layer: [-0.813388] | Score:[0.3669692] | Label: 0| Elapsed: 2.96
> QA_Iteration13-1| Output Layer: [0.14676332] | Score:[0.76921886] | Label: 0| Elapsed: 3.08
> QA_Iteration13-2| Output Layer: [0.10469294] | Score:[0.74686307] | Label: 0| Elapsed: 3.92
> QA_Iteration13-3| Output Layer: [-0.91340923] | Score:[0.33729637] | Label: 0| Elapsed: 3.79
> QA_Iteration13-4| Output Layer: [-0.04136169] | Score:[0.7140418] | Label: 1| Elapsed: 3.09
> QA_Iteration13-5| Output Layer: [-1.9182063] | Score:[0.13703664] | Label: 0| Elapsed: 2.99
> QA_Iteration13-6| Output Layer: [-0.11150575] | Score:[0.6389477] | Label: 0| Elapsed: 2.93
> QA_Iteration13-7| Output Layer: [-1.064189] | Score:[0.29639962] | Label: 0| Elapsed: 2.94
> QA_Iteration14-0| Output Layer: [-1.9979699] | Score:[0.12717022] | Label: 0| Elapsed: 2.94
> QA_Iteration14-1| Output Layer: [-2.0261338] | Score:[0.12384841] | Label: 0| Elapsed: 2.99
> QA_Iteration14-2| Output Layer: [-2.053906] | Score:[0.12065274] | Label: 0| Elapsed: 2.94
> QA_Iteration14-3| Output Layer: [-2.0814824] | Score:[0.11755648] | Label: 0| Elapsed: 2.95
> QA_Iteration14-4| Output Layer: [-2.1075387] | Score:[0.11469983] | Label: 0| Elapsed: 3.05
> QA_Iteration14-5| Output Layer: [-1.309829] | Score:[0.23891154] | Label: 0| Elapsed: 3.93
> QA_Iteration14-6| Output Layer: [-2.1601298] | Score:[0.10913254] | Label: 0| Elapsed: 3.78
> QA_Iteration14-7| Output Layer: [-1.3833] | Score:[0.22374314] | Label: 0| Elapsed: 3.08
> QA_Iteration14-8| Output Layer: [-2.2140038] | Score:[0.10369521] | Label: 0| Elapsed: 2.99
> QA_Iteration14-9| Output Layer: [-2.239819] | Score:[0.10118179] | Label: 0| Elapsed: 2.99
> QA_Iteration14-10| Output Layer: [-2.265619] | Score:[0.09872778] | Label: 0| Elapsed: 2.95
> QA_Iteration14-11| Output Layer: [-2.288037] | Score:[0.0966415] | Label: 0| Elapsed: 2.93
> QA_Iteration14-12| Output Layer: [-2.3136487] | Score:[0.09430944] | Label: 0| Elapsed: 2.96
> QA_Iteration14-13| Output Layer: [-1.5869892] | Score:[0.18609819] | Label: 0| Elapsed: 3.10
> QA_Iteration14-14| Output Layer: [-0.15433812] | Score:[0.6189527] | Label: 0| Elapsed: 3.87
> QA_Iteration14-15| Output Layer: [-2.3899348] | Score:[0.08767718] | Label: 0| Elapsed: 3.09
> QA_Iteration14-16| Output Layer: [-2.41974] | Score:[0.08520911] | Label: 0| Elapsed: 3.00
> QA_Iteration14-17| Output Layer: [-2.4454355] | Score:[0.08313488] | Label: 0| Elapsed: 3.00
> QA_Iteration15-0| Output Layer: [-2.471324] | Score:[2.552418] | Label: 1| Elapsed: 2.99
> QA_Iteration15-1| Output Layer: [-1.8640094] | Score:[0.1441434] | Label: 0| Elapsed: 2.94
> QA_Iteration15-2| Output Layer: [-2.4863038] | Score:[0.0799353] | Label: 0| Elapsed: 2.96
> QA_Iteration15-3| Output Layer: [-2.5161092] | Score:[0.07767677] | Label: 0| Elapsed: 2.94
> QA_Iteration15-4| Output Layer: [-2.5042958] | Score:[0.07856451] | Label: 0| Elapsed: 2.98
> QA_Iteration15-5| Output Layer: [-2.5144076] | Score:[0.07780404] | Label: 0| Elapsed: 3.51
> QA_Iteration15-6| Output Layer: [-2.5244846] | Score:[0.07705324] | Label: 0| Elapsed: 2.95
> QA_Iteration15-7| Output Layer: [-2.53484] | Score:[0.07628896] | Label: 0| Elapsed: 2.94
> QA_Iteration15-8| Output Layer: [-2.5447357] | Score:[0.07556543] | Label: 0| Elapsed: 2.94
> QA_Iteration16-0| Output Layer: [-2.556591] | Score:[0.07470731] | Label: 0| Elapsed: 2.93
> QA_Iteration16-1| Output Layer: [-2.5669444] | Score:[0.0739656] | Label: 0| Elapsed: 2.96
> QA_Iteration16-2| Output Layer: [-2.5788243] | Score:[0.07312327] | Label: 0| Elapsed: 3.12
> QA_Iteration16-3| Output Layer: [-2.5902562] | Score:[0.07232142] | Label: 0| Elapsed: 3.86
> QA_Iteration16-4| Output Layer: [-2.6017447] | Score:[0.07152417] | Label: 0| Elapsed: 3.08
> QA_Iteration16-5| Output Layer: [-2.6140242] | Score:[0.07068139] | Label: 0| Elapsed: 2.99
> QA_Iteration16-6| Output Layer: [-2.6257699] | Score:[0.06988422] | Label: 0| Elapsed: 2.98
> QA_Iteration16-7| Output Layer: [-2.6368601] | Score:[0.0691395] | Label: 0| Elapsed: 3.17
> QA_Iteration16-8| Output Layer: [-2.649032] | Score:[0.06833097] | Label: 0| Elapsed: 4.16
> QA_Iteration16-9| Output Layer: [-2.662327] | Score:[0.06745829] | Label: 0| Elapsed: 3.91
> QA_Iteration16-10| Output Layer: [-2.6731286] | Score:[0.06675722] | Label: 0| Elapsed: 3.09
> QA_Iteration16-11| Output Layer: [-2.6848114] | Score:[0.06600688] | Label: 0| Elapsed: 3.57
> QA_Iteration16-12| Output Layer: [-2.6980615] | Score:[0.06516575] | Label: 0| Elapsed: 3.46
> QA_Iteration17-0| Output Layer: [-2.710504] | Score:[0.06438533] | Label: 0| Elapsed: 3.09
> QA_Iteration17-1| Output Layer: [-2.7211492] | Score:[0.06372485] | Label: 0| Elapsed: 2.97
> QA_Iteration17-2| Output Layer: [-2.7346113] | Score:[0.06289896] | Label: 0| Elapsed: 3.00
> QA_Iteration17-3| Output Layer: [-2.745796] | Score:[0.0622207] | Label: 0| Elapsed: 3.00
> QA_Iteration17-4| Output Layer: [-2.759155] | Score:[0.06141985] | Label: 0| Elapsed: 3.03
> QA_Iteration17-5| Output Layer: [-2.7708545] | Score:[0.06072672] | Label: 0| Elapsed: 2.97
> QA_Iteration17-6| Output Layer: [-2.781545] | Score:[0.0601] | Label: 0| Elapsed: 2.95
> QA_Iteration17-7| Output Layer: [-2.7932122] | Score:[0.05942318] | Label: 0| Elapsed: 2.95
> QA_Iteration17-8| Output Layer: [-2.8060284] | Score:[0.05868823] | Label: 0| Elapsed: 2.99
> QA_Iteration17-9| Output Layer: [-2.8193293] | Score:[0.05793483] | Label: 0| Elapsed: 2.94
> QA_Iteration18-0| Output Layer: [-2.83036] | Score:[0.05731715] | Label: 0| Elapsed: 2.97
> QA_Iteration18-1| Output Layer: [-2.8424132] | Score:[0.05664953] | Label: 0| Elapsed: 2.98
> QA_Iteration18-2| Output Layer: [-2.8538167] | Score:[0.05602485] | Label: 0| Elapsed: 2.95
> QA_Iteration18-3| Output Layer: [-2.8650444] | Score:[0.05541636] | Label: 0| Elapsed: 2.95
> QA_Iteration18-4| Output Layer: [-2.8767703] | Score:[0.05478772] | Label: 0| Elapsed: 3.08
> QA_Iteration18-5| Output Layer: [-2.8883321] | Score:[0.05417467] | Label: 0| Elapsed: 3.76
> QA_Iteration18-6| Output Layer: [-2.8999867] | Score:[0.05356347] | Label: 0| Elapsed: 3.07
> QA_Iteration18-7| Output Layer: [-2.911015] | Score:[0.05299129] | Label: 0| Elapsed: 2.97
> QA_Iteration18-8| Output Layer: [-2.9450865] | Score:[0.05126093] | Label: 0| Elapsed: 2.99
> QA_Iteration18-9| Output Layer: [-2.4286284] | Score:[0.08448605] | Label: 0| Elapsed: 2.94
> QA_Iteration18-10| Output Layer: [-2.945223] | Score:[0.0512541] | Label: 0| Elapsed: 2.95
> QA_Iteration18-11| Output Layer: [-2.9565544] | Score:[0.05069099] | Label: 0| Elapsed: 2.98
> QA_Iteration18-12| Output Layer: [-2.9680712] | Score:[0.05012485] | Label: 0| Elapsed: 3.63
> QA_Iteration19-0| Output Layer: [-2.9793334] | Score:[0.04957719] | Label: 0| Elapsed: 3.24
> QA_Iteration19-1| Output Layer: [-2.9910827] | Score:[0.04901206] | Label: 0| Elapsed: 3.10
> QA_Iteration19-2| Output Layer: [-3.001922] | Score:[0.04849629] | Label: 0| Elapsed: 3.00
> QA_Iteration19-3| Output Layer: [-3.0123208] | Score:[0.04800645] | Label: 0| Elapsed: 3.02
> QA_Iteration19-4| Output Layer: [-3.0235884] | Score:[0.04748113] | Label: 0| Elapsed: 3.08
> QA_Iteration19-5| Output Layer: [-3.0344718] | Score:[0.04697906] | Label: 0| Elapsed: 2.99
> QA_Iteration19-6| Output Layer: [-3.0456102] | Score:[0.0464706] | Label: 0| Elapsed: 2.94
> QA_Iteration19-7| Output Layer: [-3.0545185] | Score:[0.04606781] | Label: 0| Elapsed: 2.94
> QA_Iteration19-8| Output Layer: [-3.0653505] | Score:[0.04558264] | Label: 0| Elapsed: 3.03
> QA_Iteration19-9| Output Layer: [-3.077127] | Score:[0.04506083] | Label: 0| Elapsed: 3.19
> QA_Iteration20-0| Output Layer: [-3.0970805] | Score:[0.04419] | Label: 0| Elapsed: 2.96
> QA_Iteration20-1| Output Layer: [-3.0966363] | Score:[0.0442092] | Label: 0| Elapsed: 2.97
> QA_Iteration20-2| Output Layer: [-3.1060216] | Score:[0.04380514] | Label: 0| Elapsed: 3.07
> QA_Iteration20-3| Output Layer: [-3.117442] | Score:[0.04331833] | Label: 0| Elapsed: 3.29
> QA_Iteration20-4| Output Layer: [-3.1264045] | Score:[0.04294001] | Label: 0| Elapsed: 3.18
> QA_Iteration20-5| Output Layer: [-3.1471324] | Score:[0.04207738] | Label: 0| Elapsed: 4.03
> QA_Iteration20-6| Output Layer: [-3.1457193] | Score:[0.04213565] | Label: 0| Elapsed: 3.26
> QA_Iteration20-7| Output Layer: [-3.1860924] | Score:[0.04050169] | Label: 0| Elapsed: 3.08
> QA_Iteration20-8| Output Layer: [-2.685521] | Score:[2.7514825] | Label: 1| Elapsed: 3.44
> QA_Iteration20-9| Output Layer: [-3.154215] | Score:[0.04178653] | Label: 0| Elapsed: 4.16
> QA_Iteration20-10| Output Layer: [-3.1613953] | Score:[0.04149369] | Label: 0| Elapsed: 3.96
> QA_Iteration20-11| Output Layer: [-3.138672] | Score:[0.0424274] | Label: 0| Elapsed: 3.11
> QA_Iteration20-12| Output Layer: [-3.1325002] | Score:[0.04268454] | Label: 0| Elapsed: 3.57
> QA_Iteration20-13| Output Layer: [-3.1287735] | Score:[0.04284055] | Label: 0| Elapsed: 3.50
> QA_Iteration20-14| Output Layer: [-3.1254725] | Score:[0.0429792] | Label: 0| Elapsed: 3.10
> QA_Iteration21-0| Output Layer: [-2.5564003] | Score:[0.07472105] | Label: 0| Elapsed: 3.01
> QA_Iteration21-1| Output Layer: [-3.1243181] | Score:[0.04302779] | Label: 0| Elapsed: 3.00
> QA_Iteration21-2| Output Layer: [-3.124024] | Score:[0.04304018] | Label: 0| Elapsed: 3.55
> QA_Iteration21-3| Output Layer: [-3.1263666] | Score:[0.0429416] | Label: 0| Elapsed: 2.98
> QA_Iteration21-4| Output Layer: [-3.1287487] | Score:[0.04284159] | Label: 0| Elapsed: 2.97
> QA_Iteration21-5| Output Layer: [-2.581555] | Score:[0.07293096] | Label: 0| Elapsed: 3.00
> QA_Iteration21-6| Output Layer: [-3.1346703] | Score:[0.04259396] | Label: 0| Elapsed: 2.97
> QA_Iteration21-7| Output Layer: [-2.5579696] | Score:[0.07460815] | Label: 0| Elapsed: 2.97
> QA_Iteration21-8| Output Layer: [-3.1455696] | Score:[0.04214182] | Label: 0| Elapsed: 2.96
> QA_Iteration21-9| Output Layer: [-3.1503932] | Score:[0.04194323] | Label: 0| Elapsed: 2.99
> QA_Iteration21-10| Output Layer: [-3.157521] | Score:[0.04165145] | Label: 0| Elapsed: 3.01
> QA_Iteration21-11| Output Layer: [-3.1637042] | Score:[0.04139995] | Label: 0| Elapsed: 2.98
> QA_Iteration22-0| Output Layer: [-3.1707544] | Score:[0.041115] | Label: 0| Elapsed: 2.96
> QA_Iteration22-1| Output Layer: [-3.1776202] | Score:[0.04083934] | Label: 0| Elapsed: 3.01
> QA_Iteration22-2| Output Layer: [-3.1842167] | Score:[0.04057621] | Label: 0| Elapsed: 2.97
> QA_Iteration22-3| Output Layer: [-3.193165] | Score:[0.04022191] | Label: 0| Elapsed: 3.01
> QA_Iteration22-4| Output Layer: [-1.4659605] | Score:[0.20770998] | Label: 0| Elapsed: 3.14
> QA_Iteration22-5| Output Layer: [-2.6317067] | Score:[2.7011914] | Label: 1| Elapsed: 3.81
> QA_Iteration22-6| Output Layer: [-3.2000635] | Score:[0.03995085] | Label: 0| Elapsed: 3.10
> QA_Iteration23-0| Output Layer: [-3.1932502] | Score:[0.04021855] | Label: 0| Elapsed: 3.00
> QA_Iteration23-1| Output Layer: [-3.186498] | Score:[0.0404856] | Label: 0| Elapsed: 3.09
> QA_Iteration23-2| Output Layer: [-1.9888514] | Score:[0.1282635] | Label: 0| Elapsed: 3.60
> QA_Iteration23-3| Output Layer: [-2.585948] | Score:[0.0726226] | Label: 0| Elapsed: 4.22
> QA_Iteration23-4| Output Layer: [-3.1785953] | Score:[0.04080034] | Label: 0| Elapsed: 3.94
> QA_Iteration23-5| Output Layer: [-2.5897024] | Score:[0.07236008] | Label: 0| Elapsed: 3.28
> QA_Iteration23-6| Output Layer: [-1.9892417] | Score:[0.12821652] | Label: 0| Elapsed: 3.11
> QA_Iteration24-0| Output Layer: [-2.602699] | Score:[0.07145832] | Label: 0| Elapsed: 3.28
> QA_Iteration24-1| Output Layer: [-2.602334] | Score:[0.07148349] | Label: 0| Elapsed: 3.63
> QA_Iteration24-2| Output Layer: [-1.4559982] | Score:[0.20958607] | Label: 0| Elapsed: 3.10
> QA_Iteration24-3| Output Layer: [-2.6463664] | Score:[2.7148736] | Label: 1| Elapsed: 3.01
> QA_Iteration24-4| Output Layer: [-3.1960068] | Score:[0.04011003] | Label: 0| Elapsed: 3.01
> QA_Iteration24-5| Output Layer: [-3.1872294] | Score:[0.04045658] | Label: 0| Elapsed: 2.98
> QA_Iteration24-6| Output Layer: [-1.4624989] | Score:[0.20836015] | Label: 0| Elapsed: 2.98
> QA_Iteration24-7| Output Layer: [-2.6092238] | Score:[0.0710097] | Label: 0| Elapsed: 2.97
> QA_Iteration24-8| Output Layer: [-2.6153877] | Score:[0.07058839] | Label: 0| Elapsed: 2.98
> QA_Iteration24-9| Output Layer: [-3.176514] | Score:[0.04088364] | Label: 0| Elapsed: 2.97
> QA_Iteration24-10| Output Layer: [-2.6309915] | Score:[0.06953262] | Label: 0| Elapsed: 3.01
> QA_Iteration24-11| Output Layer: [-1.5719769] | Score:[0.18866333] | Label: 0| Elapsed: 3.01
> QA_Iteration24-12| Output Layer: [-3.1856558] | Score:[0.04051902] | Label: 0| Elapsed: 3.57
> QA_Iteration24-13| Output Layer: [-2.6913257] | Score:[0.06559204] | Label: 0| Elapsed: 2.97
> QA_Iteration24-14| Output Layer: [-2.697379] | Score:[0.06520881] | Label: 0| Elapsed: 2.97
> QA_Iteration24-15| Output Layer: [-1.7464879] | Score:[0.16074489] | Label: 0| Elapsed: 2.97
> QA_Iteration24-16| Output Layer: [-3.216955] | Score:[0.03929466] | Label: 0| Elapsed: 3.01
> QA_Iteration24-17| Output Layer: [-1.855222] | Score:[0.1453275] | Label: 0| Elapsed: 3.84
> QA_Iteration24-18| Output Layer: [-2.365976] | Score:[0.08971056] | Label: 0| Elapsed: 3.08
> QA_Iteration24-19| Output Layer: [-2.417001] | Score:[0.0854331] | Label: 0| Elapsed: 3.56
> QA_Iteration24-20| Output Layer: [-2.0703855] | Score:[0.11879333] | Label: 0| Elapsed: 3.47
> QA_Iteration24-21| Output Layer: [-3.278459] | Score:[0.03699351] | Label: 0| Elapsed: 3.10
> QA_Iteration24-22| Output Layer: [-2.227737] | Score:[0.10235083] | Label: 0| Elapsed: 3.04
> QA_Iteration24-23| Output Layer: [-2.9842618] | Score:[0.04933937] | Label: 0| Elapsed: 3.02
> QA_Iteration24-24| Output Layer: [-3.0070784] | Score:[0.04825278] | Label: 0| Elapsed: 2.98
> QA_Iteration24-25| Output Layer: [-3.0407903] | Score:[0.04668996] | Label: 0| Elapsed: 2.97
> QA_Iteration24-26| Output Layer: [-3.3468094] | Score:[0.03459124] | Label: 0| Elapsed: 3.01
> QA_Iteration24-27| Output Layer: [-2.8574195] | Score:[0.05582889] | Label: 0| Elapsed: 2.95
> QA_Iteration25-0| Output Layer: [-3.1310425] | Score:[0.0427455] | Label: 0| Elapsed: 2.98
> QA_Iteration25-1| Output Layer: [-3.3853838] | Score:[3.4186878] | Label: 1| Elapsed: 2.97
> QA_Iteration26-0| Output Layer: [-3.3731039] | Score:[0.03370849] | Label: 0| Elapsed: 3.02
> QA_Iteration26-1| Output Layer: [-3.366495] | Score:[0.03392826] | Label: 0| Elapsed: 2.99
> QA_Iteration26-2| Output Layer: [-3.35916] | Score:[0.03417382] | Label: 0| Elapsed: 2.97
> QA_Iteration26-3| Output Layer: [-3.3551733] | Score:[0.03430801] | Label: 0| Elapsed: 2.99
> QA_Iteration26-4| Output Layer: [-3.3511443] | Score:[0.03444416] | Label: 0| Elapsed: 3.14
> QA_Iteration26-5| Output Layer: [-3.3464048] | Score:[0.034605] | Label: 0| Elapsed: 3.82
